,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,1.0,0.931454303765,0.826397033359,0.949512154649,0.817949938972,0.992953029113,0.983612592085,0.872683624426,0.878124725871,0.827827970856,0.795980850658,0.701274712625,0.866609437699,0.869664027727,0.965248401802,0.806396554191,0.726012722767,0.997508844048,0.914180152143,0.957668567718,0.978242620775,0.966337707937,0.736996728013,0.971809081374,0.797811471115,0.836576585102,0.889547550329,0.608041096179,0.63479449016,0.699695918942,0.899959810557,0.664011017413,0.904360489164,0.81472055874,0.754310194046,0.881189842405,0.871344723484,0.837819642875,0.76237814239,0.921540260525,0.66231271444,0.904286333201,0.747626582567,0.859373072321,0.820449564443,0.870025436978,0.898645837868,0.927729333393,0.391958903821,0.933989305555
AL,0.931454303765,1.0,0.894942729593,0.880966458414,0.886495635206,0.924407332879,0.915066895851,0.804137928192,0.946670422105,0.896373667091,0.864526546893,0.769820408859,0.935155133934,0.938209723962,0.896702705567,0.874942250426,0.657467026532,0.933945459717,0.845634455909,0.889122871484,0.953211682991,0.897792011702,0.805542424248,0.903263385139,0.86635716735,0.905122281337,0.958093246563,0.676586792413,0.703340186394,0.631150222707,0.968505506791,0.595465321178,0.835814792929,0.883266254975,0.685764497812,0.81264414617,0.939890419719,0.769273946641,0.693832446156,0.990085956759,0.730858410674,0.835740636966,0.816172278801,0.790827376087,0.888995260678,0.938571133213,0.967191534103,0.996275029628,0.323413207587,0.865443609321
AR,0.826397033359,0.894942729593,1.0,0.775909188007,0.991552905613,0.819350062473,0.810009625444,0.699080657785,0.948272307488,0.998569062502,0.9695838173,0.874877679266,0.959787595659,0.956733005631,0.79164543516,0.979999520832,0.552409756126,0.828888189311,0.740577185502,0.784065601077,0.848154412584,0.792734741295,0.910599694654,0.798206114732,0.971414437756,0.989820448257,0.93684948303,0.78164406282,0.808397456801,0.526092952301,0.926437222802,0.490408050771,0.730757522523,0.988323525381,0.580707227405,0.707586875763,0.955052309874,0.664216676234,0.58877517575,0.904856772834,0.83591568108,0.73068336656,0.921229549208,0.68577010568,0.994052531084,0.95637159638,0.927751195491,0.898667699966,0.21835593718,0.760386338914
AZ,0.949512154649,0.880966458414,0.775909188007,1.0,0.76746209362,0.956559125535,0.965899562563,0.923171469778,0.82763688052,0.777340125505,0.745493005307,0.650786867274,0.816121592348,0.819176182376,0.984263752847,0.755908708839,0.776500568118,0.947020998697,0.964667997495,0.99184358693,0.927754775423,0.983174446712,0.686508882661,0.977703073275,0.747323625764,0.786088739751,0.839059704977,0.557553250827,0.584306644808,0.750183764293,0.849471965205,0.714498862764,0.954848334515,0.764232713388,0.804798039398,0.931677687756,0.820856878133,0.888307488227,0.812865987742,0.871052415173,0.611824869088,0.954774178552,0.697138737215,0.909860917672,0.769961719092,0.819537591627,0.848157992517,0.877241488042,0.442446749172,0.984477150907
CA,0.817949938972,0.886495635206,0.991552905613,0.76746209362,1.0,0.810902968085,0.801562531057,0.690633563398,0.939825213101,0.990121968115,0.978030911687,0.883324773653,0.951340501273,0.948285911244,0.783198340773,0.988446615219,0.543962661739,0.820441094924,0.732130091115,0.77561850669,0.839707318197,0.784287646908,0.919046789042,0.789759020346,0.979861532144,0.981373353869,0.928402388643,0.790091157207,0.816844551188,0.517645857914,0.917990128415,0.481960956385,0.722310428136,0.996770619769,0.572260133018,0.699139781377,0.946605215487,0.655769581847,0.580328081363,0.896409678447,0.844362775468,0.722236272173,0.929676643595,0.677323011293,0.997500374529,0.947924501994,0.919304101103,0.890220605579,0.209908842793,0.751939244527
CO,0.992953029113,0.924407332879,0.819350062473,0.956559125535,0.810902968085,1.0,0.990659562971,0.879730595313,0.871077754985,0.82078099997,0.788933879772,0.694227741738,0.859562466813,0.862617056841,0.972295372688,0.799349583305,0.733059693653,0.990461873162,0.92122712303,0.964715538605,0.971195649889,0.973384678823,0.729949757127,0.97885605226,0.790764500229,0.829529614216,0.882500579442,0.600994125292,0.627747519274,0.706742889828,0.89291283967,0.671057988299,0.91140746005,0.807673587854,0.761357164933,0.888236813291,0.864297752598,0.844866613762,0.769425113277,0.914493289638,0.655265743553,0.911333304087,0.74057961168,0.866420043208,0.813402593557,0.862978466092,0.891598866982,0.920682362507,0.399005874708,0.941036276442
CT,0.983612592085,0.915066895851,0.810009625444,0.965899562563,0.801562531057,0.990659562971,1.0,0.889071032341,0.861737317956,0.811440562942,0.779593442743,0.68488730471,0.850222029784,0.853276619812,0.981635809717,0.790009146276,0.742400130682,0.981121436133,0.930567560058,0.974055975633,0.96185521286,0.982725115851,0.720609320098,0.988196489289,0.7814240632,0.820189177187,0.873160142414,0.591653688264,0.618407082245,0.716083326857,0.883572402642,0.680398425328,0.920747897079,0.798333150825,0.770697601961,0.89757725032,0.854957315569,0.85420705079,0.778765550306,0.90515285261,0.645925306524,0.920673741116,0.731239174652,0.875760480236,0.804062156528,0.853638029063,0.882258429953,0.911341925478,0.408346311736,0.950376713471
DE,0.872683624426,0.804137928192,0.699080657785,0.923171469778,0.690633563398,0.879730595313,0.889071032341,1.0,0.750808350298,0.700511595283,0.668664475085,0.573958337051,0.739293062126,0.742347652153,0.907435222625,0.679080178617,0.85332909834,0.870192468474,0.958503472283,0.915015056708,0.850926245201,0.90634591649,0.609680352439,0.900874543052,0.670495095542,0.709260209529,0.762231174755,0.480724720605,0.507478114586,0.827012294515,0.772643434983,0.791327392987,0.968323135263,0.687404183167,0.88162656962,0.991493782022,0.744028347911,0.965136018449,0.889694517964,0.794223884951,0.534996338866,0.968397291226,0.620310206993,0.986689447895,0.693133188869,0.742709061404,0.771329462295,0.80041295782,0.519275279395,0.938694318871
FL,0.878124725871,0.946670422105,0.948272307488,0.82763688052,0.939825213101,0.871077754985,0.861737317956,0.750808350298,1.0,0.949703244985,0.917856124787,0.823149986754,0.988484711828,0.991539301856,0.843373127673,0.92827182832,0.604137448638,0.880615881823,0.792304878015,0.835793293589,0.899882105096,0.844462433807,0.858872002142,0.849933807245,0.919686745244,0.958451859231,0.988577175543,0.729916370308,0.756669764289,0.577820644813,0.978164915314,0.542135743284,0.782485215035,0.936595832869,0.632434919918,0.759314568276,0.993219997613,0.715944368747,0.640502868262,0.956584465346,0.784187988568,0.782411059072,0.869501856696,0.737497798192,0.942324838572,0.991900711107,0.979478888003,0.950395392478,0.270083629692,0.812114031427
GA,0.827827970856,0.896373667091,0.998569062502,0.777340125505,0.990121968115,0.82078099997,0.811440562942,0.700511595283,0.949703244985,1.0,0.968152879802,0.873446741769,0.961218533157,0.958163943129,0.793076372658,0.978568583334,0.553840693623,0.830319126808,0.742008123,0.785496538575,0.849585350082,0.794165678793,0.909168757156,0.79963705223,0.969983500259,0.991251385754,0.938280420528,0.780213125322,0.806966519303,0.527523889798,0.9278681603,0.491838988269,0.73218846002,0.986892587883,0.582138164903,0.709017813261,0.956483247372,0.665647613732,0.590206113247,0.906287710332,0.834484743583,0.732114304057,0.91979861171,0.687201043177,0.992621593587,0.957802533878,0.929182132988,0.900098637463,0.219786874677,0.761817276412
HI,0.795980850658,0.864526546893,0.9695838173,0.745493005307,0.978030911687,0.788933879772,0.779593442743,0.668664475085,0.917856124787,0.968152879802,1.0,0.905293861967,0.929371412959,0.926316822931,0.76122925246,0.989584296467,0.521993573425,0.79847200661,0.710161002802,0.753649418376,0.817738229883,0.762318558595,0.941015877355,0.767789932032,0.998169379543,0.959404265556,0.90643330033,0.812060245521,0.838813639502,0.4956767696,0.896021040102,0.459991868071,0.700341339822,0.981260291918,0.550291044705,0.677170693063,0.924636127174,0.633800493534,0.558358993049,0.874440590134,0.866331863781,0.700267183859,0.951645731909,0.655353922979,0.975531286215,0.92595541368,0.89733501279,0.868251517265,0.187939754479,0.729970156214
IA,0.701274712625,0.769820408859,0.874877679266,0.650786867274,0.883324773653,0.694227741738,0.68488730471,0.573958337051,0.823149986754,0.873446741769,0.905293861967,1.0,0.834665274926,0.831610684898,0.666523114427,0.894878158434,0.427287435392,0.703765868577,0.615454864768,0.658943280343,0.72303209185,0.667612420561,0.964277984612,0.673083793999,0.90346324151,0.864698127523,0.811727162296,0.906766383554,0.933519777535,0.400970631567,0.801314902068,0.365285730038,0.605635201789,0.886554153885,0.455584906671,0.58246455503,0.829929989141,0.5390943555,0.463652855016,0.7797344521,0.961038001815,0.605561045826,0.953648130058,0.560647784946,0.880825148182,0.831249275647,0.802628874756,0.773545379232,0.0932336164461,0.63526401818
ID,0.866609437699,0.935155133934,0.959787595659,0.816121592348,0.951340501273,0.859562466813,0.850222029784,0.739293062126,0.988484711828,0.961218533157,0.929371412959,0.834665274926,1.0,0.996945409972,0.831857839501,0.939787116491,0.592622160466,0.869100593651,0.780789589843,0.824278005418,0.888366816924,0.832947145636,0.870387290314,0.838418519073,0.931202033416,0.969967147403,0.977061887371,0.741431658479,0.768185052461,0.566305356641,0.966649627143,0.530620455112,0.770969926863,0.948111121041,0.620919631746,0.747799280104,0.995264714215,0.704429080575,0.62898758009,0.945069177174,0.79570327674,0.7708957709,0.881017144868,0.72598251002,0.953840126744,0.996584000721,0.967963599831,0.938880104306,0.25856834152,0.800598743255
